PARTIDO_CI,ID_ENTIDAD,ID_DISTRITO_FEDERAL,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
PAN,01,001,Humberto Ambriz Delgadillo,Juan Manuel Méndez Noriega
PRI,01,001,Humberto Ambriz Delgadillo,Juan Manuel Méndez Noriega
PRD,01,001,Humberto Ambriz Delgadillo,Juan Manuel Méndez Noriega
PVEM,01,001,Francisco Arturo Federico Ávila Anaya,Kristian Andrés Vera Guerrero
PT,01,001,Francisco Arturo Federico Ávila Anaya,Kristian Andrés Vera Guerrero
MC,01,001,Ulises Reyes Esparza,Julio César Alvarado Ruíz
MORENA,01,001,Francisco Arturo Federico Ávila Anaya,Kristian Andrés Vera Guerrero
PAN-PRI-PRD,01,001,Humberto Ambriz Delgadillo,Juan Manuel Méndez Noriega
PAN-PRI,01,001,Humberto Ambriz Delgadillo,Juan Manuel Méndez Noriega
PAN-PRD,01,001,Humberto Ambriz Delgadillo,Juan Manuel Méndez Noriega
PRI-PRD,01,001,Humberto Ambriz Delgadillo,Juan Manuel Méndez Noriega
PVEM_PT_MORENA,01,001,Francisco Arturo Federico Ávila Anaya,Kristian Andrés Vera Guerrero
PVEM_PT,01,001,Francisco Arturo Federico Ávila Anaya,Kristian Andrés Vera Guerrero
PVEM_MORENA,01,001,Francisco Arturo Federico Ávila Anaya,Kristian Andrés Vera Guerrero
PT_MORENA,01,001,Francisco Arturo Federico Ávila Anaya,Kristian Andrés Vera Guerrero
PAN,01,002,Mónica Becerra Moreno,María Elena Pérez-Jaén Zermeño
PRI,01,002,Mónica Becerra Moreno,María Elena Pérez-Jaén Zermeño
PRD,01,002,Mónica Becerra Moreno,María Elena Pérez-Jaén Zermeño
PVEM,01,002,Aldo Emmanuel Ruíz Sánchez,Rosa María Bonilla Barrón
PT,01,002,Aldo Emmanuel Ruíz Sánchez,Rosa María Bonilla Barrón
MC,01,002,Anayeli Muñoz Moreno,Ilian Vanessa Ledesma Saldívar
MORENA,01,002,Aldo Emmanuel Ruíz Sánchez,Rosa María Bonilla Barrón
PAN-PRI-PRD,01,002,Mónica Becerra Moreno,María Elena Pérez-Jaén Zermeño
