PARTIDO_CI,ID_ENTIDAD,ID_DISTRITO_FEDERAL,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
PAN,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRD,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
MC,01,001,Jorge Armando Narváez Narváez,Verónica Sánchez Alejandre
MORENA,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN-PRI-PRD,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRI,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRD,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI-PRD,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM_PT_MORENA,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_PT,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_MORENA,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT_MORENA,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRD,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
MC,01,002,Jorge Armando Narváez Narváez,Verónica Sánchez Alejandre
MORENA,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN-PRI-PRD,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRI,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRD,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI-PRD,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM_PT_MORENA,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_PT,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_MORENA,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT_MORENA,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRD,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
MC,01,003,Jorge Armando Narváez Narváez,Verónica Sánchez Alejandre
MORENA,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN-PRI-PRD,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRI,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRD,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI-PRD,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM_PT_MORENA,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_PT,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_MORENA,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT_MORENA,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,001,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,001,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,001,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,001,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,002,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,002,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,002,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,002,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,003,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,003,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,003,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,003,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,004,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,004,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,004,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,004,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,005,Gustavo Sánchez Vásquez,José Máximo García López
